Label,trainingTime,testingTime,accuracy,errorRate,recall,precision,specificity,sensitivity,fMeasure,falseAlarmRate,iterations,sampling,kernel,lambda,C,sigmakernel
Run 1,1.486927,110.0935782,0.960264900662252,0.0397350993377483,1,0.943396226415094,0.882352941176471,1,0.970873786407767,0.117647058823529,,,,,,
Run 2,1.4301517,104.8017112,0.966887417218543,0.0331125827814569,0.989583333333333,0.95959595959596,0.927272727272727,0.989583333333333,0.974358974358974,0.0727272727272728,,,,,,
Run 3,1.3778513,107.4965209,0.940397350993378,0.0596026490066225,0.96969696969697,0.941176470588235,0.884615384615385,0.96969696969697,0.955223880597015,0.115384615384615,,,,,,
Run 4,1.4522573,105.0200657,0.966887417218543,0.0331125827814569,0.990476190476191,0.962962962962963,0.91304347826087,0.990476190476191,0.976525821596244,0.0869565217391305,,,,,,
Run 5,1.4250101,107.1084806,0.940397350993378,0.0596026490066225,1,0.914285714285714,0.836363636363636,1,0.955223880597015,0.163636363636364,,,,,,
Run 6,1.5159358,116.1847848,0.966887417218543,0.0331125827814569,0.978723404255319,0.968421052631579,0.947368421052632,0.978723404255319,0.973544973544973,0.0526315789473685,,,,,,
Run 7,1.5127516,112.9384564,0.95364238410596,0.0463576158940397,0.98019801980198,0.951923076923077,0.9,0.98019801980198,0.965853658536585,0.1,,,,,,
Run 8,1.6900755,106.950299,0.933774834437086,0.0662251655629139,0.96,0.941176470588235,0.882352941176471,0.96,0.95049504950495,0.117647058823529,,,,,,
Run 9,1.5776629,103.0732503,0.960264900662252,0.0397350993377483,0.972222222222222,0.972222222222222,0.930232558139535,0.972222222222222,0.972222222222222,0.0697674418604651,,,,,,
Run 10,1.7110887,98.5401591,0.960264900662252,0.0397350993377483,0.962264150943396,0.980769230769231,0.955555555555556,0.962264150943396,0.971428571428571,0.0444444444444444,,,,,,
Mean Values:,1.51797119,107.22073062,0.954966887417218,0.0450331125827814,0.980316429072941,0.953592938698231,0.905915764361328,0.980316429072941,0.966575081879432,0.0940842356386719,10,10,gaussian,1e-20,Inf,10
